timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703253155225,16,Characters,200,OK,Home Work 17 1-24,text,true,,257,126,25,25,http://localhost:3001/characters,4,0,1
1703253155152,89,Characters,200,OK,Home Work 17 1-7,text,true,,257,126,25,25,http://localhost:3001/characters,76,0,48
1703253155196,45,Characters,200,OK,Home Work 17 1-21,text,true,,257,126,25,25,http://localhost:3001/characters,32,0,3
1703253155155,86,Characters,200,OK,Home Work 17 1-17,text,true,,257,126,25,25,http://localhost:3001/characters,73,0,45
1703253155151,90,Characters,200,OK,Home Work 17 1-13,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,48
1703253155206,35,Characters,200,OK,Home Work 17 1-22,text,true,,257,126,25,25,http://localhost:3001/characters,22,0,1
1703253155152,89,Characters,200,OK,Home Work 17 1-11,text,true,,257,126,25,25,http://localhost:3001/characters,76,0,48
1703253155151,90,Characters,200,OK,Home Work 17 1-6,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,48
1703253155152,89,Characters,200,OK,Home Work 17 1-4,text,true,,257,126,25,25,http://localhost:3001/characters,76,0,48
1703253155151,90,Characters,200,OK,Home Work 17 1-8,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,49
1703253155216,25,Characters,200,OK,Home Work 17 1-23,text,true,,257,126,25,25,http://localhost:3001/characters,12,0,1
1703253155234,7,Characters,200,OK,Home Work 17 1-25,text,true,,257,126,25,25,http://localhost:3001/characters,4,0,1
1703253155152,89,Characters,200,OK,Home Work 17 1-12,text,true,,257,126,25,25,http://localhost:3001/characters,76,0,48
1703253155152,89,Characters,200,OK,Home Work 17 1-9,text,true,,257,126,25,25,http://localhost:3001/characters,76,0,48
1703253155151,90,Characters,200,OK,Home Work 17 1-15,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,49
1703253155151,90,Characters,200,OK,Home Work 17 1-5,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,49
1703253155151,90,Characters,200,OK,Home Work 17 1-2,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,49
1703253155186,55,Characters,200,OK,Home Work 17 1-20,text,true,,257,126,25,25,http://localhost:3001/characters,42,0,14
1703253155175,66,Characters,200,OK,Home Work 17 1-19,text,true,,257,126,25,25,http://localhost:3001/characters,53,0,25
1703253155151,90,Characters,200,OK,Home Work 17 1-1,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,49
1703253155151,90,Characters,200,OK,Home Work 17 1-16,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,49
1703253155152,89,Characters,200,OK,Home Work 17 1-3,text,true,,257,126,25,25,http://localhost:3001/characters,76,0,47
1703253155152,89,Characters,200,OK,Home Work 17 1-14,text,true,,257,126,25,25,http://localhost:3001/characters,76,0,47
1703253155151,90,Characters,200,OK,Home Work 17 1-10,text,true,,257,126,25,25,http://localhost:3001/characters,77,0,49
1703253155165,76,Characters,200,OK,Home Work 17 1-18,text,true,,257,126,25,25,http://localhost:3001/characters,63,0,35
1703253155246,3,Characters by ID,200,OK,Home Work 17 1-2,text,true,,235,127,26,26,http://localhost:3001/character/1,3,0,0
1703253155245,5,Characters by ID,200,OK,Home Work 17 1-15,text,true,,235,127,26,26,http://localhost:3001/character/1,5,0,0
1703253155246,5,Characters by ID,200,OK,Home Work 17 1-24,text,true,,235,127,26,26,http://localhost:3001/character/1,5,0,0
1703253155245,6,Characters by ID,200,OK,Home Work 17 1-20,text,true,,235,127,26,26,http://localhost:3001/character/1,6,0,0
1703253155245,7,Characters by ID,200,OK,Home Work 17 1-8,text,true,,235,127,26,26,http://localhost:3001/character/1,7,0,0
1703253155246,6,Characters by ID,200,OK,Home Work 17 1-16,text,true,,235,127,26,26,http://localhost:3001/character/1,6,0,0
1703253155245,8,Characters by ID,200,OK,Home Work 17 1-22,text,true,,235,127,26,26,http://localhost:3001/character/1,8,0,0
1703253155245,8,Characters by ID,200,OK,Home Work 17 1-9,text,true,,235,127,26,26,http://localhost:3001/character/1,8,0,0
1703253155245,8,Characters by ID,200,OK,Home Work 17 1-6,text,true,,235,127,26,26,http://localhost:3001/character/1,8,0,0
1703253155245,9,Characters by ID,200,OK,Home Work 17 1-5,text,true,,235,127,26,26,http://localhost:3001/character/1,9,0,0
1703253155245,9,Characters by ID,200,OK,Home Work 17 1-12,text,true,,235,127,26,26,http://localhost:3001/character/1,9,0,0
1703253155246,8,Characters by ID,200,OK,Home Work 17 1-13,text,true,,235,127,26,26,http://localhost:3001/character/1,8,0,0
1703253155245,9,Characters by ID,200,OK,Home Work 17 1-11,text,true,,235,127,26,26,http://localhost:3001/character/1,9,0,0
1703253155245,10,Characters by ID,200,OK,Home Work 17 1-23,text,true,,235,127,26,26,http://localhost:3001/character/1,10,0,0
1703253155245,11,Characters by ID,200,OK,Home Work 17 1-19,text,true,,235,127,27,27,http://localhost:3001/character/1,11,0,0
1703253155245,11,Characters by ID,200,OK,Home Work 17 1-25,text,true,,235,127,27,27,http://localhost:3001/character/1,11,0,0
1703253155246,10,Characters by ID,200,OK,Home Work 17 1-18,text,true,,235,127,27,27,http://localhost:3001/character/1,10,0,0
1703253155245,12,Characters by ID,200,OK,Home Work 17 1-10,text,true,,235,127,27,27,http://localhost:3001/character/1,12,0,0
1703253155245,12,Characters by ID,200,OK,Home Work 17 1-3,text,true,,235,127,27,27,http://localhost:3001/character/1,12,0,0
1703253155245,13,Characters by ID,200,OK,Home Work 17 1-17,text,true,,235,127,27,27,http://localhost:3001/character/1,13,0,0
1703253155245,14,Characters by ID,200,OK,Home Work 17 1-4,text,true,,235,127,27,27,http://localhost:3001/character/1,14,0,0
1703253155246,14,Characters by ID,200,OK,Home Work 17 1-21,text,true,,235,127,27,27,http://localhost:3001/character/1,14,0,0
1703253155246,15,Characters by ID,200,OK,Home Work 17 1-1,text,true,,235,127,27,27,http://localhost:3001/character/1,15,0,0
1703253155246,15,Characters by ID,200,OK,Home Work 17 1-7,text,true,,235,127,27,27,http://localhost:3001/character/1,15,0,0
1703253155248,14,Characters by ID,200,OK,Home Work 17 1-14,text,true,,235,127,27,27,http://localhost:3001/character/1,14,0,0
1703253155252,11,Create character,200,OK,Home Work 17 1-8,text,true,,235,227,27,27,http://localhost:3001/character,10,0,0
1703253155252,11,Create character,200,OK,Home Work 17 1-16,text,true,,235,227,27,27,http://localhost:3001/character,11,0,0
1703253155253,11,Create character,200,OK,Home Work 17 1-22,text,true,,235,227,27,27,http://localhost:3001/character,11,0,0
1703253155253,12,Create character,200,OK,Home Work 17 1-9,text,true,,235,227,27,27,http://localhost:3001/character,12,0,0
